0,1
Formula One logo since 2018,Formula One logo since 2018
Category,Open-wheel single-seater Formula auto racing
Country,International
Inaugural season,1950
Drivers,20
Teams,10
Engine manufacturers,FerrariHonda RBPTMercedesRenault
Tyre suppliers,Pirelli
Drivers' champion,Max Verstappen (2024) (Red Bull Racing-Honda RBPT)
Constructors' champion,McLaren-Mercedes (2025)
Most titles,Drivers'  Michael Schumacher  Lewis Hamilton (7 titles each) Constructors'  Ferrari (16)
Official website,formula1.com
Current season,Current season
